customer_id,first_name,last_name,email,city,state,country
11000,Jon,Yang,jon24@adventure-works.com,Rockhampton,Queensland,Australia
11001,Eugene,Huang,eugene10@adventure-works.com,Seaford,Victoria,Australia
11002,Ruben,Torres,ruben35@adventure-works.com,Hobart,Tasmania,Australia
11003,Christy,Zhu,christy12@adventure-works.com,North Ryde,New South Wales,Australia
11004,Elizabeth,Johnson,elizabeth5@adventure-works.com,Wollongong,New South Wales,Australia
11005,Julio,Ruiz,julio1@adventure-works.com,East Brisbane,Queensland,Australia
11006,Janet,Alvarez,janet9@adventure-works.com,Matraville,New South Wales,Australia
11007,Marco,Mehta,marco14@adventure-works.com,Warrnambool,Victoria,Australia
11008,Rob,Verhoff,rob4@adventure-works.com,Bendigo,Victoria,Australia
11009,Shannon,Carlson,shannon38@adventure-works.com,Hervey Bay,Queensland,Australia
11010,Jacquelyn,Suarez,jacquelyn20@adventure-works.com,East Brisbane,Queensland,Australia
11011,Curtis,Lu,curtis9@adventure-works.com,East Brisbane,Queensland,Australia
11012,Lauren,Walker,lauren41@adventure-works.com,Bremerton,Washington,United States
11013,Ian,Jenkins,ian47@adventure-works.com,Lebanon,Oregon,United States
11014,Sydney,Bennett,sydney23@adventure-works.com,Redmond,Washington,United States
11015,Chloe,Young,chloe23@adventure-works.com,Burbank,California,United States
11016,Wyatt,Hill,wyatt32@adventure-works.com,Imperial Beach,California,United States
11017,Shannon,Wang,shannon1@adventure-works.com,Sunbury,Victoria,Australia
11018,Clarence,Rai,clarence32@adventure-works.com,Bendigo,Victoria,Australia
11019,Luke,Lal,luke18@adventure-works.com,Langley,British Columbia,Canada
11020,Jordan,King,jordan73@adventure-works.com,Metchosin,British Columbia,Canada
11021,Destiny,Wilson,destiny7@adventure-works.com,Beaverton,Oregon,United States
11022,Ethan,Zhang,ethan20@adventure-works.com,Bellingham,Washington,United States
11023,Seth,Edwards,seth46@adventure-works.com,Bellflower,California,United States
11024,Russell,Xie,russell7@adventure-works.com,Concord,California,United States
11025,Alejandro,Beck,alejandro45@adventure-works.com,Hawthorne,Queensland,Australia
11026,Harold,Sai,harold3@adventure-works.com,Goulburn,New South Wales,Australia
11027,Jessie,Zhao,jessie16@adventure-works.com,Warrnambool,Victoria,Australia
11028,Jill,Jimenez,jill13@adventure-works.com,St. Leonards,New South Wales,Australia
11029,Jimmy,Moreno,jimmy9@adventure-works.com,Bendigo,Victoria,Australia
11030,Bethany,Yuan,bethany10@adventure-works.com,Cloverdale,South Australia,Australia
11031,Theresa,Ramos,theresa13@adventure-works.com,Matraville,New South Wales,Australia
11032,Denise,Stone,denise10@adventure-works.com,Melbourne,Victoria,Australia
11033,Jaime,Nath,jaime41@adventure-works.com,Milsons Point,New South Wales,Australia
11034,Ebony,Gonzalez,ebony19@adventure-works.com,North Sydney,New South Wales,Australia
11035,Wendy,Dominguez,wendy12@adventure-works.com,Cranbourne,Victoria,Australia
11036,Jennifer,Russell,jennifer93@adventure-works.com,National City,California,United States
11037,Chloe,Garcia,chloe27@adventure-works.com,Cliffside,British Columbia,Canada
11038,Diana,Hernandez,diana2@adventure-works.com,Lavender Bay,New South Wales,Australia
11039,Marc,Martin,marc3@adventure-works.com,Wollongong,New South Wales,Australia
11040,Jesse,Murphy,jesse15@adventure-works.com,Tacoma,Washington,United States
11041,Amanda,Carter,amanda53@adventure-works.com,Glendale,California,United States
11042,Megan,Sanchez,megan28@adventure-works.com,Los Angeles,California,United States
11043,Nathan,Simmons,nathan11@adventure-works.com,Glendale,California,United States
11044,Adam,Flores,adam10@adventure-works.com,Hervey Bay,Queensland,Australia
11045,Leonard,Nara,leonard18@adventure-works.com,Matraville,New South Wales,Australia
11046,Christine,Yuan,christine4@adventure-works.com,Lavender Bay,New South Wales,Australia
11047,Jaclyn,Lu,jaclyn12@adventure-works.com,Geelong,Victoria,Australia
11048,Jeremy,Powell,jeremy26@adventure-works.com,Sunbury,Victoria,Australia
11049,Carol,Rai,carol8@adventure-works.com,Chula Vista,California,United States
11050,Alan,Zheng,alan23@adventure-works.com,Hobart,Tasmania,Australia
11051,Daniel,Johnson,daniel18@adventure-works.com,Caloundra,Queensland,Australia
11052,Heidi,Lopez,heidi19@adventure-works.com,Matraville,New South Wales,Australia
11053,Ana,Price,ana0@adventure-works.com,San Diego,California,United States
11054,Deanna,Munoz,deanna33@adventure-works.com,Geelong,Victoria,Australia
11055,Gilbert,Raje,gilbert35@adventure-works.com,East Brisbane,Queensland,Australia
11056,Michele,Nath,michele19@adventure-works.com,Newcastle,New South Wales,Australia
11057,Carl,Andersen,carl12@adventure-works.com,Lane Cove,New South Wales,Australia
11058,Marc,Diaz,marc6@adventure-works.com,Findon,South Australia,Australia
11059,Ashlee,Andersen,ashlee19@adventure-works.com,Townsville,Queensland,Australia
11060,Jon,Zhou,jon28@adventure-works.com,Warrnambool,Victoria,Australia
11061,Todd,Gao,todd14@adventure-works.com,Gold Coast,Queensland,Australia
11062,Noah,Powell,noah5@adventure-works.com,Portland,Oregon,United States
11063,Angela,Murphy,angela41@adventure-works.com,Redmond,Washington,United States
11064,Chase,Reed,chase21@adventure-works.com,Downey,California,United States
11065,Jessica,Henderson,jessica29@adventure-works.com,La Jolla,California,United States
11066,Grace,Butler,grace62@adventure-works.com,Lebanon,Oregon,United States
11067,Caleb,Carter,caleb40@adventure-works.com,Port Orchard,Washington,United States
11068,Tiffany,Liang,tiffany17@adventure-works.com,Warrnambool,Victoria,Australia
11069,Carolyn,Navarro,carolyn30@adventure-works.com,Gold Coast,Queensland,Australia
11070,Willie,Raji,willie40@adventure-works.com,Sunbury,Victoria,Australia
11071,Linda,Serrano,linda31@adventure-works.com,Hawthorne,Queensland,Australia
11072,Casey,Luo,casey6@adventure-works.com,St. Leonards,New South Wales,Australia
11073,Amy,Ye,amy16@adventure-works.com,Springwood,New South Wales,Australia
11074,Levi,Arun,levi6@adventure-works.com,Cloverdale,South Australia,Australia
11075,Felicia,Jimenez,felicia4@adventure-works.com,Bendigo,Victoria,Australia
11076,Blake,Anderson,blake9@adventure-works.com,Wollongong,New South Wales,Australia
11077,Leah,Ye,leah7@adventure-works.com,Melton,Victoria,Australia
11078,Gina,Martin,gina1@adventure-works.com,Cliffside,British Columbia,Canada
11079,Donald,Gonzalez,donald20@adventure-works.com,Geelong,Victoria,Australia
11080,Damien,Chander,damien32@adventure-works.com,Perth,South Australia,Australia
11081,Savannah,Baker,savannah39@adventure-works.com,Concord,California,United States
11082,Angela,Butler,angela17@adventure-works.com,Fremont,California,United States
11083,Alyssa,Cox,alyssa37@adventure-works.com,Lincoln Acres,California,United States
11084,Lucas,Phillips,lucas7@adventure-works.com,Lebanon,Oregon,United States
11085,Emily,Johnson,emily1@adventure-works.com,Newport Beach,California,United States
11086,Ryan,Brown,ryan43@adventure-works.com,Santa Monica,California,United States
11087,Tamara,Liang,tamara6@adventure-works.com,Chula Vista,California,United States
11088,Hunter,Davis,hunter64@adventure-works.com,San Diego,California,United States
11089,Abigail,Price,abigail25@adventure-works.com,Long Beach,California,United States
11090,Trevor,Bryant,trevor18@adventure-works.com,Los Angeles,California,United States
11091,Dalton,Perez,dalton37@adventure-works.com,Haney,British Columbia,Canada
11092,Cheryl,Diaz,cheryl4@adventure-works.com,East Brisbane,Queensland,Australia
11093,Aimee,He,aimee13@adventure-works.com,Wollongong,New South Wales,Australia
11094,Cedric,Ma,cedric15@adventure-works.com,Cranbourne,Victoria,Australia
11095,Chad,Kumar,chad9@adventure-works.com,Port Macquarie,New South Wales,Australia
11096,Andrés,Anand,andrés18@adventure-works.com,North Sydney,New South Wales,Australia
11097,Edwin,Nara,edwin39@adventure-works.com,Warrnambool,Victoria,Australia
11098,Mallory,Rubio,mallory7@adventure-works.com,Rhodes,New South Wales,Australia
11099,Adam,Ross,adam2@adventure-works.com,Port Macquarie,New South Wales,Australia
11100,Latasha,Navarro,latasha10@adventure-works.com,Cloverdale,South Australia,Australia
11101,Abby,Sai,abby4@adventure-works.com,Cranbourne,Victoria,Australia
11102,Julia,Nelson,julia7@adventure-works.com,Sydney,New South Wales,Australia
11103,Cassie,Chande,cassie13@adventure-works.com,Darlinghurst,New South Wales,Australia
11104,Edgar,Sara,edgar11@adventure-works.com,Gold Coast,Queensland,Australia
11105,Candace,Fernandez,candace15@adventure-works.com,Matraville,New South Wales,Australia
11106,Jessie,Liu,jessie9@adventure-works.com,Warrnambool,Victoria,Australia
11107,Bianca,Lin,bianca7@adventure-works.com,St. Leonards,New South Wales,Australia
11108,Kari,Alvarez,kari25@adventure-works.com,Port Macquarie,New South Wales,Australia
11109,Ruben,Kapoor,ruben1@adventure-works.com,South Melbourne,Victoria,Australia
11110,Curtis,Yang,curtis5@adventure-works.com,Darlinghurst,New South Wales,Australia
11111,Meredith,Gutierrez,meredith34@adventure-works.com,Geelong,Victoria,Australia
11112,Crystal,Wang,crystal3@adventure-works.com,Hervey Bay,Queensland,Australia
11113,Micheal,Blanco,micheal11@adventure-works.com,Perth,South Australia,Australia
11114,Leslie,Moreno,leslie7@adventure-works.com,Rhodes,New South Wales,Australia
11115,Alvin,Cai,alvin20@adventure-works.com,St. Leonards,New South Wales,Australia
11116,Clinton,Carlson,clinton14@adventure-works.com,Sydney,New South Wales,Australia
11117,April,Deng,april1@adventure-works.com,Matraville,New South Wales,Australia
11118,Alvin,Zeng,alvin21@adventure-works.com,Lavender Bay,New South Wales,Australia
11119,Evan,James,evan8@adventure-works.com,Port Macquarie,New South Wales,Australia
11120,Beth,Jiménez,beth8@adventure-works.com,Sydney,New South Wales,Australia
11121,Orlando,Suarez,orlando19@adventure-works.com,Newcastle,New South Wales,Australia
11122,Byron,Vazquez,byron9@adventure-works.com,North Sydney,New South Wales,Australia
11123,Philip,Alvarez,philip4@adventure-works.com,Sunbury,Victoria,Australia
11124,Ross,Jordan,ross1@adventure-works.com,Warrnambool,Victoria,Australia
11125,Dana,Navarro,dana2@adventure-works.com,Seaford,Victoria,Australia
11126,Shaun,Carson,shaun16@adventure-works.com,North Ryde,New South Wales,Australia
11127,Jan,Edwards,jan11@adventure-works.com,San Gabriel,California,United States
11128,Samantha,Long,samantha35@adventure-works.com,Renton,Washington,United States
11129,Julia,Wright,julia17@adventure-works.com,Sedro Woolley,Washington,United States
11130,Caroline,Russell,caroline21@adventure-works.com,Lebanon,Oregon,United States
11131,Amanda,Rivera,amanda7@adventure-works.com,Haney,British Columbia,Canada
11132,Melissa,Richardson,melissa31@adventure-works.com,Langford,British Columbia,Canada
11133,Angela,Griffin,angela23@adventure-works.com,Lake Oswego,Oregon,United States
